description,category,merchant_base
PURCHASE Chirie luna iunie Mall #001,Housing,Chirie luna iunie
Cumparare Bitwarden Premium Cluj RO,Subscriptions,Bitwarden Premium
Plata cu cardul DIGI*FACT Iasi,Utilities,DIGI*FACT
Achizitie ESCAPE ROOM LOGICA Vitan #001,Entertainment,Escape Room Logica
PURCHASE Claude Pro Park Lake,Subscriptions,Claude Pro
Plata cu cardul Broker BT Capital RO 12345,Investments,Broker BT Capital
PMT POS Întreținere apartament AFI Cotroceni RO,Housing,Întreținere apartament
PMT SYNEVO LABORATOR Cotroceni #4321,Health,Synevo Laborator
PURCHASE CABINET STOMATOLOGIC SMILE Store 04 RO,Health,Cabinet Stomatologic Smile
PMT Ramses Sushi Downtown RID:34521,Restaurants,Ramses Sushi
PMT Bolt Food Bucharest (RO),Restaurants,Bolt Food
Plata POS carrefour market Branch 12 #001,Groceries,Carrefour Market
Achizitie Joc PC Steam EU AUT:887412,Entertainment,Joc PC Steam
POS epic games store Mall (RO),Entertainment,Epic Games Store
PURCHASE Brutaria Boromir Sun Plaza RO,Groceries,Brutaria Boromir
PMT POS LINKEDIN LEARNING RO #14,Education,LinkedIn Learning
PURCHASE Mega Image Shop&Go Mall,Groceries,Mega Image Shop&Go
POS MEGA IMAGE Mall (RO),Groceries,Mega Image
Achizitie emirates Brasov #221,Travel,Emirates
Achizitie carrefour.ro online Center AUT:887412,Groceries,Carrefour.ro online
Întreținere apartament ROM #14,Housing,Întreținere apartament
POS Carrefour Express RO #221,Groceries,Carrefour Express
ONLYFANS SUBSCRIPTION Floreasca #4321,Subscriptions,OnlyFans subscription
PURCHASE Hotel Athenee Palace Mall Vitan #001,Travel,Hotel Athenee Palace
Plata cu cardul ÎNCASARE SALARIU MARIA EU 12345,Transfer,Încasare salariu Maria
Cumparare OMV PETROLSTATION Brasov RO,Transport,OMV PetrolStation
PMT POS TICHETE VACANTA Bucharest RID:34521,Salary,Tichete vacanta
SPOTIFY FAMILY Promenada #4321,Subscriptions,Spotify Family
PURCHASE WizzAir Bilet Cluj,Travel,WizzAir Bilet
Policlinica Titu Maiorescu Cluj RO,Health,Policlinica Titu Maiorescu
Plata POS DISTRIGAZ SUD Bucharest #14,Utilities,Distrigaz Sud
Plata cu cardul FOND MUTUAL BT ASSET MGMT Sibiu #221,Investments,Fond mutual BT Asset Mgmt
PMT NOTION AI Iasi RO,Subscriptions,Notion AI
Cumparare BOLT*RIDE Ploiesti 12345,Transport,BOLT*RIDE
Plata POS DR. DENT Center RO,Health,Dr. Dent
PMT Cinema 3D AFI Baneasa AUT:887412,Entertainment,Cinema 3D AFI
PURCHASE PROTONVPN Vitan AUT:887412,Subscriptions,ProtonVPN
Plata cu cardul JD SPORTS RO AUT:887412,Other,JD Sports
Achizitie foodpanda Constanta #221,Restaurants,FoodPanda
PMT Stock purchase MSFT AFI Cotroceni 12345,Investments,Stock purchase MSFT
Cumparare Medicover Romania Vitan RO,Health,Medicover Romania
Plata POS XTB deposit Drumul Taberei (RO),Investments,XTB deposit
PMT UDEMY BUSINESS Iasi (RO),Education,Udemy Business
Cumparare XTB INVEST Downtown 12345,Investments,XTB invest
POS Booking.com Hotel Drumul Taberei RO,Travel,Booking.com Hotel
PMT POS STB Bucharest #4321,Transport,STB
PMT POS KARAOKE SING CITY Sibiu RO,Entertainment,Karaoke Sing City
PMT POS Spitalul Floreasca Center 12345,Health,Spitalul Floreasca
PMT POS UPC Romania Bucharest RID:34521,Utilities,UPC Romania
Plata POS Lukoil Vitan (RO),Transport,Lukoil
Achizitie PANDORA BIJUTERII EU RO,Other,Pandora bijuterii
PMT editura polirom carte Vitan RID:34521,Education,Editura Polirom carte
Plata POS imobiliare.ro listare Oradea RID:34521,Housing,Imobiliare.ro listare
PMT Anaida Restaurant ROM (RO),Restaurants,Anaida Restaurant
Achizitie bar de zi floreasca Iasi #4321,Restaurants,Bar de zi Floreasca
Plata cu cardul NORWEGIAN AIR Center 12345,Travel,Norwegian Air
Plata cu cardul Comision agentie imobiliara Cluj 12345,Housing,Comision agentie imobiliara
BlackRock iShares Bucharest #14,Investments,BlackRock iShares
Frizerie Old School Oradea AUT:887412,Other,Frizerie Old School
Plata cu cardul Factura apa Promenada,Utilities,Factura apa
Panera Bread Mall (RO),Restaurants,Panera Bread
LIBRARIA HUMANITAS Baneasa RID:34521,Education,Libraria Humanitas
PURCHASE Figma Pro Promenada #001,Subscriptions,Figma Pro
Achizitie KARAOKE SING CITY Downtown RO,Entertainment,Karaoke Sing City
PMT POS Douglas magazin Park Lake (RO),Other,Douglas magazin
POS Hidroelectrica vanzare Online #001,Utilities,Hidroelectrica vanzare
microsoft 365 family Brasov,Subscriptions,Microsoft 365 Family
PURCHASE DIURNĂ DEPLASARE ROM RO,Salary,Diurnă deplasare
Cumparare Carte tehnica online Downtown #14,Education,Carte tehnica online
netflix standard Center RID:34521,Subscriptions,Netflix Standard
Plata cu cardul Cinemax Vitan #001,Entertainment,Cinemax
PMT POS Avis Rent Galati #14,Travel,Avis Rent
Asigurare apartament Promenada #001,Housing,Asigurare apartament
Achizitie Spitalul Coltea RO #221,Health,Spitalul Coltea
PMT POS GOG.com Drumul Taberei #221,Entertainment,GOG.com
Plata POS Reparatii instalatie sanitara RO #14,Housing,Reparatii instalatie sanitara
Cumparare UPWORK PAYOUT Pipera (RO),Salary,Upwork payout
PMT billa Ploiesti #14,Groceries,Billa
REPARATII ELECTROCASNICE Downtown #4321,Other,Reparatii electrocasnice
PURCHASE Pensiune Sinaia AFI Cotroceni #001,Travel,Pensiune Sinaia
POS MAGAZINUL DE CARTIER Store 04 #4321,Groceries,Magazinul de Cartier
Achizitie Airbnb Stay AFI Cotroceni 12345,Travel,Airbnb Stay
PMT POS EON.RO factura Pipera,Utilities,EON.RO factura
PMT Saxo Bank deposit ROM #221,Investments,Saxo Bank deposit
Cumparare payslip tech corp ROM #001,Salary,Payslip Tech Corp
PURCHASE auchan Sibiu RO,Groceries,Auchan
Cumparare ROVINIETA Center 12345,Transport,Rovinieta
engie romania Mall Vitan,Utilities,Engie Romania
Achizitie Farmacia Tei Center 12345,Health,Farmacia Tei
PMT POS WOLT Timisoara 12345,Restaurants,Wolt
Cumparare BERE SI GRILL Promenada #4321,Restaurants,Bere si grill
POS Burgerista Cluj (RO),Restaurants,Burgerista
Plata cu cardul Distrigaz Sud Constanta RO,Utilities,Distrigaz Sud
Cumparare COMISION AGENTIE IMOBILIARA EU #14,Housing,Comision agentie imobiliara
PMT Optimall optica Bucharest RO,Health,Optimall optica
Plata cu cardul Pet Shop Animax Galati 12345,Other,Pet Shop Animax
Achizitie aws free tier Galati AUT:887412,Subscriptions,AWS Free Tier
PURCHASE CARWASH EXPRESS Mall Vitan RO,Transport,Carwash Express
Achizitie joc pc steam Downtown AUT:887412,Entertainment,Joc PC Steam
PMT POS mortgage payment Downtown 12345,Housing,Mortgage payment
POS Asigurare apartament Iasi,Housing,Asigurare apartament
Hard Rock Cafe Promenada RID:34521,Restaurants,Hard Rock Cafe
Plata POS SPAR EU AUT:887412,Groceries,Spar
Cumparare GAZE NATURALE ROMANIA Galati RID:34521,Utilities,Gaze Naturale Romania
POS FMI Bucuresti ROM 12345,Education,FMI Bucuresti
Achizitie Office 365 Online RO,Subscriptions,Office 365
Plata POS Beauty Salon Pretty ROM RO,Other,Beauty Salon Pretty
Achizitie La Placinte Sibiu RID:34521,Restaurants,La Placinte
PURCHASE Webull deposit Timisoara 12345,Investments,Webull deposit
PURCHASE factura internet Online #001,Utilities,Factura internet
PMT POS REZERVARE HOTEL BRASOV Galati,Travel,Rezervare hotel Brasov
Cumparare universitate tehnica Iasi #001,Education,Universitate Tehnica
Fond mutual NN Promenada #221,Investments,Fond mutual NN
POS Uniswap swap Baneasa #4321,Investments,Uniswap swap
PMT POS Tichete vacanta Mall 12345,Salary,Tichete vacanta
Plata cu cardul BROKER BT CAPITAL EU,Investments,Broker BT Capital
Plata cu cardul H&M magazin ROM RO,Other,H&M magazin
Achizitie BILET FILARMONICA Sun Plaza RO,Entertainment,Bilet Filarmonica
Plata POS Croitorie de Lux RO #001,Other,Croitorie de Lux
PURCHASE Diurnă deplasare Brasov,Salary,Diurnă deplasare
Achizitie Plata freelance proiect AFI Cotroceni #14,Salary,Plata freelance proiect
PMT POS PRAKTIKER Mall Vitan (RO),Other,Praktiker
Achizitie deutsche bahn Sibiu AUT:887412,Transport,Deutsche Bahn
Achizitie Nintendo Switch Online ROM (RO),Entertainment,Nintendo Switch Online
PURCHASE Coffee Project Timisoara,Restaurants,Coffee Project
PURCHASE popeyes louisiana kitchen Iasi #4321,Restaurants,Popeyes Louisiana Kitchen
Plata POS trivago Mall Vitan,Travel,Trivago
POS Hotel Cismigiu Mall RID:34521,Travel,Hotel Cismigiu
PURCHASE CEC BANK TRANSFER Store 04 #4321,Transfer,CEC Bank transfer
PURCHASE cinemax iulius mall Mall RO,Entertainment,Cinemax Iulius Mall
Plata cu cardul metrorex Baneasa AUT:887412,Transport,Metrorex
Plata POS wok to walk Vitan RO,Restaurants,Wok to Walk
Deposit rent Sibiu AUT:887412,Housing,Deposit rent
PMT POS optimall optica Brasov,Health,Optimall optica
POS Asociatie Proprietari Bloc 5 RO #221,Housing,Asociatie Proprietari Bloc 5
Plata POS Vodafone Cable Pipera RO,Utilities,Vodafone Cable
Plata POS Eventim Bilet Park Lake RID:34521,Entertainment,Eventim Bilet
E.ON Energie Romania ROM RO,Utilities,E.ON Energie Romania
POS cursuri online it Online (RO),Education,Cursuri online IT
Achizitie dm drogerie markt EU 12345,Groceries,DM Drogerie Markt
Achizitie H&M magazin Bucharest,Other,H&M magazin
PMT Reteaua Regina Maria Store 04 (RO),Health,Reteaua Regina Maria
Chirie luna iulie EU 12345,Housing,Chirie luna iulie
PURCHASE BANK TO BANK SWIFT Bucuresti #001,Transfer,Bank to bank SWIFT
Plata cu cardul LINKEDIN LEARNING ROM RO,Education,LinkedIn Learning
Cumparare Hertz Rent a Car Iasi #221,Travel,Hertz Rent a Car
Plata POS Vodafone Romania Pipera RID:34521,Utilities,Vodafone Romania
Plata POS Spitalul Floreasca Mall Vitan #14,Health,Spitalul Floreasca
Plata POS Service Auto Andrei Downtown AUT:887412,Transport,Service Auto Andrei
întreținere apartament Brasov #4321,Housing,Întreținere apartament
PMT POS RESTAURANT CENTRUL VECHI RO,Restaurants,Restaurant centrul vechi
kraken buy Brasov #4321,Investments,Kraken buy
PMT POS apa nova bucuresti Branch 12 (RO),Utilities,Apa Nova Bucuresti
PMT POS ApaServ Brasov Vitan AUT:887412,Utilities,ApaServ Brasov
Steam Wallet Downtown RO,Entertainment,Steam Wallet
POS MOL ROMANIA Drumul Taberei AUT:887412,Transport,MOL Romania
Plata POS Bolt Romania Cotroceni RO,Transport,Bolt Romania
TRANSFER CARD TO CARD Cluj #221,Transfer,Transfer card to card
PURCHASE Psiholog Cabinet ROM #14,Health,Psiholog Cabinet
Plata POS Hervis Sports AFI Cotroceni 12345,Other,Hervis Sports
Cumparare clinica polisano Drumul Taberei AUT:887412,Health,Clinica Polisano
POS HARD ROCK CAFE Oradea 12345,Restaurants,Hard Rock Cafe
Plata POS auto service pitesti Sun Plaza #001,Transport,Auto Service Pitesti
Plata cu cardul OTP Bank schimb Park Lake 12345,Transfer,OTP Bank schimb
Cumparare FESTIVAL AWAKE Bucharest #4321,Entertainment,Festival Awake
PMT POS SUPERMARKET LOCAL Ploiesti,Groceries,Supermarket Local
Cumparare CEZ Romania Oradea RO,Utilities,CEZ Romania
Achizitie Taxi Cobalcescu Promenada #001,Transport,Taxi Cobalcescu
POS Enel Energie EU RID:34521,Utilities,Enel Energie
Achizitie iCloud Center (RO),Subscriptions,iCloud
PMT POS Teatrul Bulandra EU RID:34521,Entertainment,Teatrul Bulandra
Plata cu cardul Opera Bucuresti Brasov RO,Entertainment,Opera Bucuresti
Cumparare BOWLING MEGA MALL Brasov AUT:887412,Entertainment,Bowling Mega Mall
DENTIST BRILLIANT AFI Cotroceni RID:34521,Health,Dentist Brilliant
PURCHASE Marionnaud Store 04 (RO),Other,Marionnaud
Plata POS 1password Cluj RO,Subscriptions,1Password
POS Plata diversa EU #4321,Other,Plata diversa
Plata cu cardul Notion Personal Pipera RID:34521,Subscriptions,Notion Personal
POS asociatie locatari Branch 12 12345,Housing,Asociatie locatari
Cumparare Digi Romania Mall 12345,Utilities,Digi Romania
PURCHASE YouTube Music Cotroceni #001,Subscriptions,YouTube Music
Cumparare Lufthansa Group Galati (RO),Travel,Lufthansa Group
PURCHASE GAZPROM Bucuresti #221,Transport,Gazprom
Plata POS Subway Timisoara #14,Restaurants,Subway
Plata POS METRO CASH & CARRY ROM RID:34521,Groceries,Metro Cash & Carry
POS salary transfer Vitan (RO),Salary,SALARY TRANSFER
Plata POS Sushi Master Store 04 RID:34521,Restaurants,Sushi Master
Cumparare Pizzeria 4 Amici Bucharest #4321,Restaurants,Pizzeria 4 Amici
Plata POS Lidl Mall #14,Groceries,Lidl
virament bcr catre brd Store 04 #4321,Transfer,Virament BCR catre BRD
Achizitie vaccinare centrul medical Bucharest,Health,Vaccinare Centrul Medical
POS Saxo Bank deposit Center 12345,Investments,Saxo Bank deposit
PMT Radet Bucuresti Sun Plaza #221,Utilities,Radet Bucuresti
Cumparare Carrefour Express Baneasa #221,Groceries,Carrefour Express
Achizitie BurgerFest Timisoara (RO),Restaurants,BurgerFest
Plata cu cardul Brutaria Anatolia Cluj #221,Groceries,Brutaria Anatolia
Plata POS CNAIR ROVINIETA Promenada #14,Transport,CNAIR Rovinieta
PMT POS ASE Taxa Master ROM #4321,Education,ASE Taxa Master
NORDVPN Downtown RID:34521,Subscriptions,NordVPN
Achizitie Patiserie Parisul Bucuresti 12345,Other,Patiserie Parisul
Plata POS paypal payout Bucharest (RO),Transfer,PayPal payout
POS Kaufland RO RID:34521,Groceries,Kaufland
Plata cu cardul Taco Bell Store 04 RID:34521,Restaurants,Taco Bell
Achizitie Dropbox Family Ploiesti #221,Subscriptions,Dropbox Family
Plata cu cardul trading 212 invest Iasi #221,Investments,Trading 212 Invest
Cumparare Profi Loco Galati #221,Groceries,Profi Loco
Cumparare Factura curent Vitan #221,Utilities,Factura curent
PURCHASE PIZZERIA 4 AMICI Drumul Taberei RID:34521,Restaurants,Pizzeria 4 Amici
Plata cu cardul ORIGO COFFEE Mall Vitan #14,Restaurants,Origo Coffee
PMT SCHIMB EUR-RON BCR ROM #4321,Transfer,Schimb EUR-RON BCR
POS house Sun Plaza 12345,Other,House
POS psiholog cabinet AFI Cotroceni AUT:887412,Health,Psiholog Cabinet
Cumparare acuarela cafe Branch 12 (RO),Restaurants,Acuarela Cafe
Plata cu cardul DEUTSCHE BAHN Sun Plaza RO,Transport,Deutsche Bahn
Plata cu cardul VACCINARE CENTRUL MEDICAL Promenada 12345,Health,Vaccinare Centrul Medical
Cumparare cec virament Online 12345,Transfer,CEC virament
Plata POS carrefour.ro online Galati #001,Groceries,Carrefour.ro online
Plata POS SALUBRIZARE BUCURESTI Oradea,Utilities,Salubrizare Bucuresti
Plata cu cardul Lensa.ro Bucharest,Health,Lensa.ro
PURCHASE frontend masters subscription Floreasca #001,Education,Frontend Masters subscription
Cumparare real estate reit Mall RO,Investments,Real estate REIT
PURCHASE Factura gaze Drumul Taberei 12345,Utilities,Factura gaze
Achizitie TELEKOM MOBILE EU,Utilities,Telekom Mobile
Plata POS PIZZERIA 4 AMICI Sibiu (RO),Restaurants,Pizzeria 4 Amici
POS Roblox subscription Mall RO,Entertainment,Roblox subscription
Plata cu cardul Fresh Corner Store 04 #4321,Groceries,Fresh Corner
Plata cu cardul ONORARIU CONSULTANTA Baneasa AUT:887412,Salary,Onorariu consultanta
Plata POS Salubritate URBAN Pipera #4321,Utilities,Salubritate URBAN
PMT notion ai Sibiu,Subscriptions,Notion AI
PURCHASE Pizzeria Presto Timisoara #14,Restaurants,Pizzeria Presto
Plata cu cardul Carl's Jr Brasov 12345,Restaurants,Carl's Jr
VEL PITAR Downtown RO,Groceries,Vel Pitar
PMT HBO MAX Downtown #4321,Subscriptions,HBO Max
PMT 1password Cluj #001,Subscriptions,1Password
Kika mobilier ROM #221,Other,Kika mobilier
Cumparare Fizioterapie sedinta ROM #4321,Health,Fizioterapie sedinta
Plata POS RENT JUNE Floreasca 12345,Housing,RENT JUNE
PMT ETF SPY EU 12345,Investments,ETF SPY
Achizitie ORANGE ROMANIA Bucharest (RO),Utilities,Orange Romania
Cumparare Sushi Master Constanta #14,Restaurants,Sushi Master
PURCHASE HIDROELECTRICA Cluj 12345,Utilities,Hidroelectrica
PMT POS Eventim Bilet Brasov 12345,Entertainment,Eventim Bilet
TARGUL DE LEGUME EU (RO),Groceries,Targul de Legume
PURCHASE Beauty Salon Pretty Pipera (RO),Other,Beauty Salon Pretty
POS Yoga clasa Iasi #221,Health,Yoga clasa
POS Steam Wallet Downtown (RO),Entertainment,Steam Wallet
PMT POS klm Ploiesti RID:34521,Travel,KLM
Achizitie Magazin Animale Companie Branch 12 #221,Other,Magazin Animale Companie
Cumparare ENEL ENERGIE RO #14,Utilities,Enel Energie
Plata POS Hollywood Multiplex EU #221,Entertainment,Hollywood Multiplex
PURCHASE DM Drogerie Markt Drumul Taberei #14,Groceries,DM Drogerie Markt
Cumparare Escape Room Adventure Timisoara 12345,Entertainment,Escape Room Adventure
POS Spotify Premium Cotroceni #14,Subscriptions,Spotify Premium
Plata cu cardul Cazare camin studenti Galati #14,Education,Cazare camin studenti
Achizitie Auto Service Pitesti Cotroceni AUT:887412,Transport,Auto Service Pitesti
RENT JULY Constanta (RO),Housing,RENT JULY
PMT POS HIPMENU RO RO,Restaurants,Hipmenu
PMT cadou online Mall #14,Other,Cadou online
Cumparare Lidl Online #4321,Groceries,Lidl
Cumparare baumax Oradea RO,Other,BAUMAX
Cumparare VEL PITAR Park Lake #001,Groceries,Vel Pitar
Cumparare fond mutual bt asset mgmt Cotroceni RO,Investments,Fond mutual BT Asset Mgmt
Cumparare aldi RO #221,Groceries,Aldi
CEC virament Store 04 (RO),Transfer,CEC virament
Plata cu cardul Kika mobilier Downtown #14,Other,Kika mobilier
POS Coursera ROM #001,Education,Coursera
Cumparare edX Microsoft Online,Education,edX Microsoft
PMT POS klm Pipera 12345,Travel,KLM
Achizitie festival neversea Timisoara RO,Entertainment,Festival Neversea
Plata POS La Doi Pasi Oradea #14,Groceries,La Doi Pasi
Plata cu cardul Patiserie Parisul Bucuresti #221,Other,Patiserie Parisul
PMT ITP Service Bucharest #14,Transport,ITP Service
Plata cu cardul HOTEL CROWNE PLAZA Center RO,Travel,Hotel Crowne Plaza
Achizitie TD Ameritrade Aviatorilor #4321,Investments,TD Ameritrade
LUFTHANSA GROUP Ploiesti RID:34521,Travel,Lufthansa Group
Plata cu cardul tim hortons Branch 12 #14,Restaurants,Tim Hortons
PURCHASE APOMETRU INDEX Drumul Taberei #4321,Utilities,Apometru index
Achizitie Carrefour Market Mall Vitan RID:34521,Groceries,Carrefour Market
Asigurare locuinta Ploiesti (RO),Housing,Asigurare locuinta
Cumparare Medicover Iasi #001,Health,Medicover
Plata POS MAX.COM Downtown #221,Subscriptions,Max.com
Cumparare Optimall optica Store 04 #001,Health,Optimall optica
Plata POS SALARIU ORE SUPLIMENTARE Mall #221,Salary,Salariu ore suplimentare
Plata cu cardul Kaufland Online Online AUT:887412,Groceries,Kaufland Online
Cumparare Electrica Distributie Store 04 #4321,Utilities,Electrica Distributie
Plata POS nike store Center #4321,Other,Nike store
Achizitie GREGGS Online #4321,Restaurants,Greggs
Achizitie Rata ipoteca RO #001,Housing,Rata ipoteca
Achizitie eToro buy Oradea #221,Investments,eToro buy
Plata cu cardul STARBUCKS Center #221,Restaurants,Starbucks
Cumparare Mobexpert Mall Vitan #001,Other,Mobexpert
CARWASH EXPRESS Timisoara RO,Transport,Carwash Express
Cumparare XTB DEPOSIT Downtown #221,Investments,XTB deposit
STB BUCURESTI Promenada (RO),Transport,STB Bucuresti
Achizitie Revolut transfer to friend Bucharest,Transfer,Revolut transfer to friend
RATA IPOTECA EU #14,Housing,Rata ipoteca
Plata cu cardul Medical Center Bucuresti Baneasa RID:34521,Health,Medical Center Bucuresti
Cumparare chipotle mexican grill Cotroceni 12345,Restaurants,Chipotle Mexican Grill
Plata cu cardul CASA INTELIGENTA ADMINISTRARE Bucuresti,Housing,Casa Inteligenta administrare
Plata POS SALARY EMPLOYER Constanta RO,Salary,SALARY EMPLOYER
Substack subscription Drumul Taberei,Subscriptions,Substack subscription
Magazin Mixt Oradea,Groceries,Magazin Mixt
Cumparare MEDIC DE FAMILIE Bucuresti #4321,Health,Medic de familie
Plata cu cardul DECONT SALARIAL Oradea RID:34521,Salary,Decont salarial
Plata POS burgerfest Iasi #221,Restaurants,BurgerFest
PURCHASE Transfer in EUR Park Lake RID:34521,Transfer,Transfer in EUR
autostrada a1 Mall 12345,Transport,Autostrada A1
POS carrefour.ro online Aviatorilor RID:34521,Groceries,Carrefour.ro online
PURCHASE PAYPAL PAYOUT Pipera #221,Transfer,PayPal payout
PMT POS Vanguard ETF Downtown #221,Investments,Vanguard ETF
Revolut Invest Park Lake #221,Investments,Revolut Invest
PMT POS ANNABELLA Bucharest #221,Groceries,Annabella
Achizitie Mercadona Brasov #14,Groceries,Mercadona
PMT POS WISE TRANSFER Vitan AUT:887412,Transfer,Wise transfer
Plata cu cardul FACTURA APA AFI Cotroceni #001,Utilities,Factura apa
PURCHASE skillshare Pipera RO,Education,Skillshare
ROSETTA STONE Downtown,Education,Rosetta Stone
Rata credit ipotecar Cotroceni #14,Housing,Rata credit ipotecar
